IMAGEID	Plane	TheC	TheZ	TheC	XPos	YPos	ZPos	DeltaT
229.0	0.0	0.0	0.0	0.0	60750.9	46750.5	1238.3	491.953
230.0	0.0	0.0	0.0	0.0	65250.9	46750.5	1247.3	493.702
231.0	0.0	0.0	0.0	0.0	69750.9	46750.5	1250.7	495.452
232.0	0.0	0.0	0.0	0.0	74250.9	46750.5	1256.8	497.152
233.0	0.0	0.0	0.0	0.0	78750.9	46750.5	1264.4	498.926
234.0	0.0	0.0	0.0	0.0	83250.9	46750.5	1279.4	501.052
235.0	0.0	0.0	0.0	0.0	87750.9	46750.5	1292.3	503.202
236.0	0.0	0.0	0.0	0.0	92250.9	46750.5	1311.8	505.701
237.0	0.0	0.0	0.0	0.0	96750.9	46750.5	1326.8	508.251
238.0	0.0	0.0	0.0	0.0	101250.9	46750.5	1331.3	510.802
239.0	0.0	0.0	0.0	0.0	105750.9	46750.5	1342.6	513.75
240.0	0.0	0.0	0.0	0.0	2250.9	51250.5	1294.1	518.601
241.0	0.0	0.0	0.0	0.0	6750.9	51250.5	1301.3	521.101
242.0	0.0	0.0	0.0	0.0	11250.9	51250.5	1279.0	523.552
243.0	0.0	0.0	0.0	0.0	15750.9	51250.5	1271.6	525.651
244.0	0.0	0.0	0.0	0.0	20250.9	51250.5	1266.3	527.702
245.0	0.0	0.0	0.0	0.0	24750.9	51250.5	1262.4	529.804
246.0	0.0	0.0	0.0	0.0	29250.9	51250.5	1262.1	531.852
247.0	0.0	0.0	0.0	0.0	33750.9	51250.5	1253.2	533.252
248.0	0.0	0.0	0.0	0.0	38250.9	51250.5	1253.2	534.55
249.0	0.0	0.0	0.0	0.0	42750.9	51250.5	1253.2	535.901
250.0	0.0	0.0	0.0	0.0	47250.9	51250.5	1253.2	537.15
251.0	0.0	0.0	0.0	0.0	51750.9	51250.5	1253.2	538.399
252.0	0.0	0.0	0.0	0.0	56250.9	51250.5	1255.7	540.053
253.0	0.0	0.0	0.0	0.0	60750.9	51250.5	1258.8	541.801
254.0	0.0	0.0	0.0	0.0	65250.9	51250.5	1259.2	543.554
255.0	0.0	0.0	0.0	0.0	69750.9	51250.5	1270.4	545.652
256.0	0.0	0.0	0.0	0.0	74250.9	51250.5	1272.3	547.702
257.0	0.0	0.0	0.0	0.0	78750.9	51250.5	1284.5	549.852
258.0	0.0	0.0	0.0	0.0	83250.9	51250.5	1299.1	552.052
259.0	0.0	0.0	0.0	0.0	87750.9	51250.5	1310.6	554.299
260.0	0.0	0.0	0.0	0.0	92250.9	51250.5	1331.1	556.851
261.0	0.0	0.0	0.0	0.0	96750.9	51250.5	1340.7	559.501
262.0	0.0	0.0	0.0	0.0	101250.9	51250.5	1346.2	562.2
263.0	0.0	0.0	0.0	0.0	105750.9	51250.5	1357.1	565.152
264.0	0.0	0.0	0.0	0.0	2250.9	55750.5	1306.5	570.051
265.0	0.0	0.0	0.0	0.0	6750.9	55750.5	1299.0	572.599
266.0	0.0	0.0	0.0	0.0	11250.9	55750.5	1297.2	575.1
267.0	0.0	0.0	0.0	0.0	15750.9	55750.5	1289.7	577.35
268.0	0.0	0.0	0.0	0.0	20250.9	55750.5	1285.1	579.95
269.0	0.0	0.0	0.0	0.0	24750.9	55750.5	1277.5	582.151
270.0	0.0	0.0	0.0	0.0	29250.9	55750.5	1273.1	584.251
271.0	0.0	0.0	0.0	0.0	33750.9	55750.5	1272.0	586.353
272.0	0.0	0.0	0.0	0.0	38250.9	55750.5	1271.0	588.5
273.0	0.0	0.0	0.0	0.0	42750.9	55750.5	1267.4	590.608
274.0	0.0	0.0	0.0	0.0	47250.9	55750.5	1271.0	592.699
275.0	0.0	0.0	0.0	0.0	51750.9	55750.5	1272.2	594.749
276.0	0.0	0.0	0.0	0.0	56250.9	55750.5	1278.5	596.851
277.0	0.0	0.0	0.0	0.0	60750.9	55750.5	1287.1	599.35
278.0	0.0	0.0	0.0	0.0	65250.9	55750.5	1291.2	601.55
279.0	0.0	0.0	0.0	0.0	69750.9	55750.5	1296.3	604.05
280.0	0.0	0.0	0.0	0.0	74250.9	55750.5	1298.8	606.3
281.0	0.0	0.0	0.0	0.0	78750.9	55750.5	1312.3	608.8
282.0	0.0	0.0	0.0	0.0	83250.9	55750.5	1320.6	611.349
283.0	0.0	0.0	0.0	0.0	87750.9	55750.5	1332.3	613.9
284.0	0.0	0.0	0.0	0.0	92250.9	55750.5	1351.7	616.499
285.0	0.0	0.0	0.0	0.0	96750.9	55750.5	1363.9	619.199
286.0	0.0	0.0	0.0	0.0	101250.9	55750.5	1377.8	622.153
287.0	0.0	0.0	0.0	0.0	105750.9	55750.5	1382.4	625.198
288.0	0.0	0.0	0.0	0.0	2250.9	60250.5	1314.5	630.098
289.0	0.0	0.0	0.0	0.0	6750.9	60250.5	1313.0	632.699
290.0	0.0	0.0	0.0	0.0	11250.9	60250.5	1306.7	635.251
291.0	0.0	0.0	0.0	0.0	15750.9	60250.5	1302.8	637.799
292.0	0.0	0.0	0.0	0.0	20250.9	60250.5	1301.9	640.3
293.0	0.0	0.0	0.0	0.0	24750.9	60250.5	1297.9	642.799
294.0	0.0	0.0	0.0	0.0	29250.9	60250.5	1287.4	645.0
295.0	0.0	0.0	0.0	0.0	33750.9	60250.5	1291.2	647.451
296.0	0.0	0.0	0.0	0.0	38250.9	60250.5	1292.2	649.701
297.0	0.0	0.0	0.0	0.0	42750.9	60250.5	1287.8	651.9
298.0	0.0	0.0	0.0	0.0	47250.9	60250.5	1288.0	654.1
299.0	0.0	0.0	0.0	0.0	51750.9	60250.5	1293.1	656.349
300.0	0.0	0.0	0.0	0.0	56250.9	60250.5	1298.8	658.569
301.0	0.0	0.0	0.0	0.0	60750.9	60250.5	1307.3	661.098
302.0	0.0	0.0	0.0	0.0	65250.9	60250.5	1316.8	663.65
303.0	0.0	0.0	0.0	0.0	69750.9	60250.5	1322.2	666.25
304.0	0.0	0.0	0.0	0.0	74250.9	60250.5	1332.0	668.899
305.0	0.0	0.0	0.0	0.0	78750.9	60250.5	1338.6	671.5
306.0	0.0	0.0	0.0	0.0	83250.9	60250.5	1342.7	674.149
307.0	0.0	0.0	0.0	0.0	87750.9	60250.5	1355.4	676.799
308.0	0.0	0.0	0.0	0.0	92250.9	60250.5	1367.0	679.498
309.0	0.0	0.0	0.0	0.0	96750.9	60250.5	1380.7	682.198
310.0	0.0	0.0	0.0	0.0	101250.9	60250.5	1394.6	684.999
311.0	0.0	0.0	0.0	0.0	105750.9	60250.5	1408.8	688.099
312.0	0.0	0.0	0.0	0.0	2250.9	64750.5	1330.5	693.347
313.0	0.0	0.0	0.0	0.0	6750.9	64750.5	1333.8	696.248
314.0	0.0	0.0	0.0	0.0	11250.9	64750.5	1323.5	699.199
315.0	0.0	0.0	0.0	0.0	15750.9	64750.5	1320.9	701.749
316.0	0.0	0.0	0.0	0.0	20250.9	64750.5	1319.2	704.348
317.0	0.0	0.0	0.0	0.0	24750.9	64750.5	1313.2	706.917
318.0	0.0	0.0	0.0	0.0	29250.9	64750.5	1311.9	709.497
319.0	0.0	0.0	0.0	0.0	33750.9	64750.5	1310.9	712.049
320.0	0.0	0.0	0.0	0.0	38250.9	64750.5	1308.7	714.648
321.0	0.0	0.0	0.0	0.0	42750.9	64750.5	1311.7	717.201
322.0	0.0	0.0	0.0	0.0	47250.9	64750.5	1312.8	719.748
323.0	0.0	0.0	0.0	0.0	51750.9	64750.5	1315.4	722.298
324.0	0.0	0.0	0.0	0.0	56250.9	64750.5	1325.6	724.849
325.0	0.0	0.0	0.0	0.0	60750.9	64750.5	1329.9	727.397
326.0	0.0	0.0	0.0	0.0	65250.9	64750.5	1340.2	729.998
327.0	0.0	0.0	0.0	0.0	69750.9	64750.5	1347.8	732.7
328.0	0.0	0.0	0.0	0.0	74250.9	64750.5	1356.9	735.347
329.0	0.0	0.0	0.0	0.0	78750.9	64750.5	1368.2	738.348
330.0	0.0	0.0	0.0	0.0	83250.9	64750.5	1369.2	741.099
331.0	0.0	0.0	0.0	0.0	87750.9	64750.5	1384.0	743.848
332.0	0.0	0.0	0.0	0.0	92250.9	64750.5	1394.9	746.599
333.0	0.0	0.0	0.0	0.0	96750.9	64750.5	1405.4	749.699
334.0	0.0	0.0	0.0	0.0	101250.9	64750.5	1417.3	752.846
335.0	0.0	0.0	0.0	0.0	105750.9	64750.5	1429.2	756.047
336.0	0.0	0.0	0.0	0.0	2250.9	69250.5	1336.3	761.349
337.0	0.0	0.0	0.0	0.0	6750.9	69250.5	1340.9	764.349
338.0	0.0	0.0	0.0	0.0	11250.9	69250.5	1341.8	767.348
339.0	0.0	0.0	0.0	0.0	15750.9	69250.5	1338.1	770.048
340.0	0.0	0.0	0.0	0.0	20250.9	69250.5	1346.0	773.048
341.0	0.0	0.0	0.0	0.0	24750.9	69250.5	1338.7	775.698
342.0	0.0	0.0	0.0	0.0	29250.9	69250.5	1330.8	778.296
343.0	0.0	0.0	0.0	0.0	33750.9	69250.5	1336.3	781.197
344.0	0.0	0.0	0.0	0.0	38250.9	69250.5	1330.7	783.848
345.0	0.0	0.0	0.0	0.0	42750.9	69250.5	1335.5	786.496
346.0	0.0	0.0	0.0	0.0	47250.9	69250.5	1338.4	789.403
347.0	0.0	0.0	0.0	0.0	51750.9	69250.5	1351.7	792.097
348.0	0.0	0.0	0.0	0.0	56250.9	69250.5	1343.9	794.748
349.0	0.0	0.0	0.0	0.0	60750.9	69250.5	1354.0	797.397
350.0	0.0	0.0	0.0	0.0	65250.9	69250.5	1364.0	800.197
351.0	0.0	0.0	0.0	0.0	69750.9	69250.5	1385.3	802.996
352.0	0.0	0.0	0.0	0.0	74250.9	69250.5	1380.9	805.748
